"ANNIHILATOR SEARCH RESULTS"

"EXECUTION SUMMARY"
"Configuration","Value"
"Variables","5"
"Table Size","32"
"Population Size","256"
"Max Generations","10000"
"Mutation Rate","0.08"
"Adaptive Mutation","Yes"
"Tournament Size","5"

"TARGET FUNCTION"
"Property","Value"
"Function (f)","11101101000001111110011000101010"
"Ones Count","17"

"RESULT STATUS","SUCCESS"

"ANNIHILATOR FUNCTION"
"Property","Value"
"Function (g)","00000010111010000001000010010101"
"Ones Count","10"

"VERIFICATION"
"Metric","Value"
"Annihilation Violations","0"
"Perfect Annihilator","YES"
"Hamming Distance","27"

"BIT-BY-BIT ANALYSIS"
"Position","f","g","Product","Safe"
"0","1","0","0","YES"
"1","1","0","0","YES"
"2","1","0","0","YES"
"3","0","0","0","YES"
"4","1","0","0","YES"
"5","1","0","0","YES"
"6","0","1","0","YES"
"7","1","0","0","YES"
"8","0","1","0","YES"
"9","0","1","0","YES"
"10","0","1","0","YES"
"11","0","0","0","YES"
"12","0","1","0","YES"
"13","1","0","0","YES"
"14","1","0","0","YES"
"15","1","0","0","YES"
"16","1","0","0","YES"
"17","1","0","0","YES"
"18","1","0","0","YES"
"19","0","1","0","YES"
"20","0","0","0","YES"
"21","1","0","0","YES"
"22","1","0","0","YES"
"23","0","0","0","YES"
"24","0","1","0","YES"
"25","0","0","0","YES"
"26","1","0","0","YES"
"27","0","1","0","YES"
"28","1","0","0","YES"
"29","0","1","0","YES"
"30","1","0","0","YES"
"31","0","1","0","YES"
