"ANNIHILATOR SEARCH RESULTS"

"EXECUTION SUMMARY"
"Configuration","Value"
"Variables","5"
"Table Size","32"
"Population Size","256"
"Max Generations","10000"
"Mutation Rate","0.08"
"Adaptive Mutation","Yes"
"Tournament Size","5"

"TARGET FUNCTION"
"Property","Value"
"Function (f)","10010011010011000011100111111010"
"Ones Count","17"

"RESULT STATUS","SUCCESS"

"ANNIHILATOR FUNCTION"
"Property","Value"
"Function (g)","00000000000000010100010000000000"
"Ones Count","3"

"VERIFICATION"
"Metric","Value"
"Annihilation Violations","0"
"Perfect Annihilator","YES"
"Hamming Distance","20"

"BIT-BY-BIT ANALYSIS"
"Position","f","g","Product","Safe"
"0","1","0","0","YES"
"1","0","0","0","YES"
"2","0","0","0","YES"
"3","1","0","0","YES"
"4","0","0","0","YES"
"5","0","0","0","YES"
"6","1","0","0","YES"
"7","1","0","0","YES"
"8","0","0","0","YES"
"9","1","0","0","YES"
"10","0","0","0","YES"
"11","0","0","0","YES"
"12","1","0","0","YES"
"13","1","0","0","YES"
"14","0","0","0","YES"
"15","0","1","0","YES"
"16","0","0","0","YES"
"17","0","1","0","YES"
"18","1","0","0","YES"
"19","1","0","0","YES"
"20","1","0","0","YES"
"21","0","1","0","YES"
"22","0","0","0","YES"
"23","1","0","0","YES"
"24","1","0","0","YES"
"25","1","0","0","YES"
"26","1","0","0","YES"
"27","1","0","0","YES"
"28","1","0","0","YES"
"29","0","0","0","YES"
"30","1","0","0","YES"
"31","0","0","0","YES"
